ID,AREA,NAME,TYPE,SUMMARY,ADDRESS,TEL,PAYEX,SERVICETIME,TW97X,TW97Y,TOTALCAR,TOTALMOTOR
10056,板橋區,遠東百貨停車場,2,立體式建築附設停車空間,板橋區中山路一段152號,,小型車計時每小時60元;,0~24時,296882,2767068,453,0
10008,板橋區,府後立體停車場,2,立體式多目標附建停車場,板橋區府中路32-1、32-2,2969-7281,小型車計時每小時20元;,0~24時,296277,2767002.5,150,0
10028,板橋區,新北市立大觀國民中學停車場,2,立體式多目標附建停車場,板橋區僑中一街1號地下室,22725015#611,小型車計時每小時20元;小型車月租每月4000元;,0~24時,295269,2767084,30,0
10072,板橋區,香丘停車場,2,立體式多目標附建停車場,板橋區中山路一段279號,8953-8420,小型車計時每小時30元;小型車月租每月3300元;,0~24時,297449,2767423,79,0
10086,板橋區,遠東資源開發股份有限公司遠東路1號營業所停車場,2,立體式建築附設停車空間,板橋區遠東路1號地下一層,7741-5000#583,機車計時每小時10元;小型車計時每小時30元;,7:00至23:00,296147,2765704,75,41
10091,板橋區,金板神大樓地下停車場,2,立體式建築附設停車空間,板橋區南雅東路20-6號B2,0932241641；0988018105,小型車計時每小時30元;小型車月租每月2600元;,15時~24時,295886,2766560.5,20,0
10092,板橋區,高爾富停車場,2,平面式臨時路外停車場,板橋區遠東路1號後方空地,7738-9988,小型車計時每小時20元;,0~24時,295829.5,2765664,98,0
10039,板橋區,臺北紙廠停車場,1,平面式臨時路外停車場,板橋區大觀路二段28號,2275-1494,小型車計時每小時20元;小型車月租每月4000元;機車計次每次10元;機車月租每月120元;,0~24時,295054,2766183.5,210,153
10041,板橋區,新北市立中山國民中學附設停車場,2,立體式多目標附建停車場,板橋區文化路一段188巷56號,2250-8250#238,小型車月租每月1000元;小型車月租每月3000元;機車免費免費;,19~6時,297189,2767890,101,86
10115,板橋區,永琦停車場,2,平面式都市計畫停車場,新北市板橋區北門街與文昌街口,89698923,小型車計時每小時20元;小型車月租每月4000元;,0~24時,296076.2,2767093,47,0
10117,板橋區,Times板橋吳鳳路停車場,2,平面式臨時路外停車場,新北市板橋區吳鳳路92號旁空地,800888924,小型車計時每小時80元;,0~24時,297136.4,2769359,11,0
